TestID,Testname,AuthorID,Result,Timestamp
1, ,Dad,0.714,2024-04-03 02:35:58
2, ,Dad,0.319,2024-04-03 02:46:38
3, ,Dad,0.209,2024-04-08 22:04:37
4, ,Dad,0.954,2024-04-08 22:05:36
5, ,Dad,0.358,2024-04-08 22:06:13
6, ,Dad,0.27,2024-04-08 22:06:55
7, ,Dad,0.338,2024-04-08 22:33:36
8, ,Dad,0.998,2024-04-08 22:33:48
9, ,Dad,0.211,2024-04-08 22:34:31
10, ,james,0.712,2024-04-08 22:35:03
11, ,james,0.993,2024-04-08 22:35:18
12, ,james,0.628,2024-04-08 22:36:06
14, ,james,0.053,2024-04-08 22:36:42
15, ,james,0.768,2024-04-08 22:37:25
16, ,Dad,0.272,2024-04-08 22:38:14
17, ,Dad,0.306,2024-04-08 22:39:17
18, ,13,0.361,2024-04-08 22:39:47
19, ,13,0.095,2024-04-08 22:40:05
20, ,13,0.958,2024-04-08 22:40:28
21, ,Dad,0.911,2024-04-21 22:19:53
22, ,Dad,0.987,2024-04-21 22:25:51
23, ,Dad,0.296,2024-04-22 21:29:41
